Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,IKEA,1065 Plains Rd E,,Burlington,ON,L7T 4K1,,905-681-5531,E,,Public,24 hours daily,,,,,,,4,,Non-Networked,,200-9,43.328164,-79.828969,2022-12-12,83023,2023-04-10 20:30:18 UTC,P,,,2017-02-01,,,,,CHADEMO J1772COMBO,CA,,24 heures par jour,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Gus Revenberg Chevrolet Buick GMC,10150 Tecumseh Rd E,,Tecumseh,ON,N8R 1A2,,519-979-2800,E,,Public - Call ahead,Dealership business hours,,,,,,,1,,Non-Networked,,200-8,42.314019,-82.916044,2022-03-04,83124,2022-04-26 16:04:15 UTC,P,,,2013-08-15,,,,,J1772COMBO,CA,,Heures d'ouverture du concessionnaire,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Petro-Canada,3305 Dorchester Rd,,Dorchester,ON,N0L 1G0,,800-668-0220,E,,Public,24 hours daily,,,,,,1,2,,PETROCAN,https://www.petro-canada.ca/en/personal/fuel/canadas-electric-highway/,200-9,42.95611,-81.061756,2021-12-13,83230,2022-06-03 20:40:05 UTC,P,,,2015-09-15,,,,,CHADEMO J1772 J1772COMBO,CA,,24 heures par jour,,Public,,public,,,GAS_STATION,,,,,,,L2: Free; DC Fast: $0.33 per minute,L2: Gratuit; DC Fast: $0.33 par minute,,,,,,,,,false,,,,,,,,LD,false
ELEC,Petro-Canada,1586 Centennial Dr,,Kingston,ON,K7P 0C7,,613-389-8010  800-668-0220,E,,Public,24 hours daily,,,,,,1,2,,PETROCAN,https://www.petro-canada.ca/en/personal/fuel/canadas-electric-highway/,200-9,44.280454,-76.570333,2021-12-13,83232,2024-01-19 18:17:26 UTC,P,,,2015-03-15,,,,,CHADEMO J1772 J1772COMBO,CA,,24 heures par jour,,Public,,public,,,GAS_STATION,,,,,,,L2: Free; DC Fast: $0.50 per minute,"L2: Gratuit; DC Fast: 0,55 $ par minute",,,,,,,,,false,,,,,,,,LD,false
ELEC,Petro-Canada,638 County Rd 41,,Napanee,ON,K7R 3L2,,800-668-0220,E,,Public,24 hours daily,ANDROID_PAY APPLE_PAY CREDIT Debit,,,,,1,2,,PETROCAN,https://www.petro-canada.ca/en/personal/fuel/canadas-electric-highway/,200-9,44.268417,-76.967826,2024-01-12,83233,2024-01-12 14:23:28 UTC,P,,,2016-06-15,,,,,CHADEMO J1772 J1772COMBO,CA,,24 heures par jour,,Public,,public,,,GAS_STATION,,,,,,,L2: Free; DC Fast: $0.50 per minute,L2: Gratuit; DC Fast:$0.50 par minute,,,,,,,,,false,,,,,,,,LD,false
ELEC,Petro-Canada,235 Steeles Ave E,,Milton,ON,L9T 1Y2,,800-668-0220,E,,Public,24 hours daily,,,,,,1,2,,PETROCAN,https://www.petro-canada.ca/en/personal/fuel/canadas-electric-highway/,200-9,43.52206,-79.893905,2021-06-07,83236,2024-01-19 18:21:55 UTC,P,,,2016-11-02,,,,,CHADEMO J1772 J1772COMBO,CA,,24 heures par jour,,Public,,public,,,GAS_STATION,,,,,,,L2: $0.33 per minute; DC Fast: $0.50 per minute,"L2:  $0.33 par minute; DC Fast: 0,55 $ par minute",,,,,,,,,false,,,,,,,,,false
ELEC,Reaume Chevrolet Buick GMC,500 Front Rd,Two units outside; one unit inside,Windsor,ON,N9J 1Z9,,519-734-7844,E,,Public,24 hours daily,,,,,,1,1,,Non-Networked,,200-9,42.241722,-83.102857,2023-04-05,83263,2023-04-10 20:30:18 UTC,P,,,2013-01-15,,,,,J1772 J1772COMBO,CA,"deux unitÃ©s Ã Â  l'extÃ©rieur, une unitÃ© Ã  l'intÃ©rieur",24 heures par jour,,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,IKEA,1475 The Queensway,,Toronto,ON,M8Z 1T3,,416-646-8182 x2406  844-835-2348,E,,Public,24 hours daily,,,,,,,2,,Non-Networked,,200-9,43.618926,-79.534487,2022-12-12,83428,2023-04-10 20:30:18 UTC,P,,,2017-03-01,,,,,CHADEMO J1772COMBO,CA,,24 heures tous les jours,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,IKEA,200 Interchange Way,,Vaughan,ON,L4K 5C3,,866-866-4532  844-835-2348,E,,Public,24 hours daily,,,,,,,2,,Non-Networked,,200-9,43.787562,-79.530244,2022-12-12,83432,2023-04-10 20:30:18 UTC,SG,,,2017-05-15,,,,,CHADEMO J1772COMBO,CA,,24 heures par jour,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Lanoue Chevrolet,75 Mill St W,,Tillbury,ON,N0P 2L0,,888-887-9696,E,,Public,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,42.262758,-82.446151,2022-03-04,83443,2022-04-26 16:04:15 UTC,P,,,2013-01-15,,,,,J1772 J1772COMBO,CA,,Heures dâ€™ouverture du concessionnaire,,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Nissan Canada Financial Services Inc,5290 Orbitor Dr,,Mississauga,ON,L4W 4Z5,,800-268-6499,E,,Public - Call ahead,Dealership business hours,,,,,,4,1,,Non-Networked,,200-9,43.659886,-79.607736,2018-02-06,83833,2021-06-07 17:08:43 UTC,P,,,2013-03-15,,,,,CHADEMO J1772,CA,,Heures dâ€™ouverture du concessionnaire,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,,false
ELEC,Atria III,2225 Sheppard Ave E,,North York,ON,M2J 5C2,,,E,,Public,24 hours daily; for tenants and visitors only,Cash Debit M V,,,,,6,1,,Non-Networked,,200-9,43.77259,-79.328755,2024-01-12,83856,2024-01-12 14:23:28 UTC,P,,,2016-05-16,,,,,CHADEMO J1772 J1772COMBO,CA,,24 heures par jour; seulement pour les locataires et visiteurs,,Public,,public,,,PAY_LOT,,,,,,,DC Fast is $10-12 per hour; L2 is $1.50 per hour,10-12$ par heure pour DC Fast; 1.50$ par heure pour niveau 2,,,,,,,,,true,,,,,,,,LD,false
ELEC,Hawkesbury Chevrolet Buick GMC,640 Main St,One unit inside; two units outside,West Hawkesbury,ON,K6A 2J3,,613-632-2764,E,,Public - Call ahead,24 hours daily,,,,,,1,1,,Non-Networked,,200-9,45.611323,-74.624095,2023-04-05,83882,2023-04-10 20:30:18 UTC,P,,,2011-06-15,,,,,J1772 J1772COMBO,CA,une unité à l'intérieur; deux unités à l'extérieur,24 heures par jour,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,Audi London,481 Wharncliffe Rd S,,London,ON,N6J 2N1,,519-963-2834,E,,Public,"8am-5PM M-F, Audi clients only",,,,,,,1,,Non-Networked,,200-9,42.9581,-81.2616,2022-02-10,83897,2023-03-22 15:55:03 UTC,P,,,2015-11-15,,,,,CHADEMO,CA,,8:00-17:00 LUN-VEN; Audi clients seulement,,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,LD,false
ELEC,BVD Petroleum - Comber - Tesla Supercharger,7018 Industrial Drive,,Comber,ON,N0P 1J0,,877-798-3752,E,,Public,24 hours daily,,,,,,,8,,Tesla,https://www.tesla.com/supercharger,200-8,42.239116,-82.550227,2023-07-01,83915,2023-07-14 19:41:28 UTC,P,,,2015-04-01,,,,,TESLA,CA,,Accessible 24 heures par jour; à l'usage des modèles Tesla seulement,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,Ramada Cornwall - Tesla Supercharger,805 Brookdale Avenue,,Cornwall,ON,K6J 4P3,,877-798-3752,E,,Public,24 hours daily,,,,,,,8,,Tesla,https://www.tesla.com/supercharger,200-8,45.023716,-74.748123,2023-07-01,83919,2023-07-14 19:41:28 UTC,P,,,2014-09-01,,,,,TESLA,CA,,Accessible 24 heures par jour; à l'usage des modèles Tesla seulement,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,Port Hope Travel Center - Tesla Supercharger,6498 Telephone Rd.,,Port Hope,ON,L1A3V6,,877-798-3752,E,,Public,24 hours daily,,,,,,,8,,Tesla,https://www.tesla.com/supercharger,200-8,43.971602,-78.285397,2023-07-01,83973,2023-07-14 19:41:28 UTC,P,,,2015-12-15,,,,,TESLA,CA,,Accessible 24 heures par jour; à l'usage des modèles Tesla seulement,,Public,,public,,,TRAVEL_CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,false
ELEC,ImPark,5775 Yonge St,,Toronto,ON,M2M 4J1,,416-369-1801,E,,Public,24 hours daily,,,,,,2,1,,Non-Networked,,200-9,43.78332,-79.416048,2022-04-13,83985,2023-03-27 18:15:13 UTC,SG,,,2017-05-15,,,,,CHADEMO J1772 J1772COMBO,CA,,24 heures par jour,,Public,,public,,,PAY_GARAGE,,,,,,,"Level 2: $5 for first hour, $12 per hour after; DC Fast: $5 per hour for first hour, $24 per hour after","Niveau 2 5 $ pour la première heure, 12 $ par heure après; DC Fast: 5 $ l'heure pour la première heure, 24 $ l'heure après",,,,,,,,,false,,,,,,,,LD,false
ELEC,York Mills Centre,36 York Mills Rd,,Toronto,ON,M2P 2E9,,416-733-4000,E,,Public,24 hours daily; variable parking fee,,,,,,5,1,,Non-Networked,,200-9,43.744452,-79.404192,2019-11-08,84004,2021-03-30 21:09:19 UTC,P,,,2016-03-05,,,,,CHADEMO J1772,CA,,Accessible 24 heures par jour; tarif variable pour le stationnement,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,,false,,,,,,,,,false
ELEC,Hunt Club Nissan,275 W Hunt Club Rd,,Ottawa,ON,K2E 1A6,,613-521-6262,E,,Public - Call ahead,Dealership business hours,,,,,,1,2,,FLO,https://flo.ca/,GPS,45.34079749864258,-75.70894021824645,2024-01-12,84007,2024-01-12 14:23:28 UTC,P,,,2011-08-15,,,,,CHADEMO J1772 J1772COMBO,CA,,Heures d'ouverture du concessionnaire,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Tim Horton's,525 Highway 11 W,,Fort Frances,ON,P9A 3J3,,807-274-3953,E,,Public,24 hours daily,,,,,,,1,,Non-Networked,,GPS,48.61012496927763,-93.41509173297806,2023-04-05,84130,2023-04-10 20:30:18 UTC,SG,,,2017-05-15,,,,,CHADEMO J1772COMBO,CA,,24 heures par jour,,Public,,public,,,RESTAURANT,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false
ELEC,ImPark - Citibank Building,123 Front St W,,Toronto,ON,M5J 2M3,,416-864-0848,E,,Public,24 hours daily,,,,,,,1,,Non-Networked,,200-8,43.645275,-79.38256,2021-04-12,84140,2023-03-27 18:15:13 UTC,SG,,,2017-05-17,,,,,CHADEMO J1772COMBO,CA,,24 heures par jour,,Public,,public,,,PAY_GARAGE,,,,,,,$24 per hour,$24 par huere,,,,,,,,,false,,,,,,,,,false
ELEC,Metro Centre,200 Wellington St W,,Toronto,ON,M5V 3C7,,888-908-8303,T,2021-05-28,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,,2,,Non-Networked,,200-9,43.645863,-79.387849,2021-06-07,84166,2022-04-26 16:04:15 UTC,P,,,2021-03-26,,,,,CHADEMO J1772COMBO,CA,,24 heures par jour,,TEMPORAIREMENT SUSPENDU (Public),,public,,,PAY_GARAGE,,,,,,,$24 per hour; $5 fee,24$ par heure; Frais de 5 $,,,,,,,,,false,,,,,,,,,false
